order_id,customer_id,order_date,order_amount,order_status,payment_status,country
5001,101,2026-06-01,120.50,Delivered,Paid,UK
5002,102,2026-06-01,760.00,Shipped,Paid,India
5003,103,2026-06-02,89.99,Created,Pending,USA
5004,104,2026-06-02,245.75,Cancelled,Failed,Canada
5005,105,2026-06-03,515.20,Delivered,Paid,Germany
5006,106,2026-06-03,65.00,Returned,Refunded,Australia
5007,101,2026-06-04,980.00,Delivered,Paid,UK
5008,102,2026-06-04,310.40,Shipped,Paid,India
5009,107,2026-06-05,44.99,Cancelled,Failed,UK
5010,108,2026-06-05,155.25,Created,Pending,India
5011,109,2026-06-06,1320.00,Delivered,Paid,USA
5012,110,2026-06-06,230.10,Shipped,Paid,Canada
5013,111,2026-06-07,75.50,Created,Pending,Germany
5014,112,2026-06-07,640.00,Returned,Refunded,Australia
5015,105,2026-06-08,410.00,Delivered,Paid,Germany
5016,106,2026-06-08,28.99,Cancelled,Failed,Australia
5017,109,2026-06-09,875.30,Shipped,Paid,USA
5018,110,2026-06-09,199.99,Delivered,Paid,Canada
5019,103,2026-06-10,540.45,Delivered,Paid,USA
5020,108,2026-06-10,115.75,Created,Pending,India
