order_id,customer_id,order_date,order_amount,order_status,payment_status,country,delivery_date
6001,101,2026-06-01,120.50,Delivered,Paid,UK,2026-06-04
6002,102,2026-06-01,760.00,Shipped,Paid,India,2026-06-06
6003,103,2026-06-02,39.99,Created,Pending,USA,
6004,104,2026-06-02,245.75,Cancelled,Failed,Canada,
6005,105,2026-06-03,515.20,Delivered,Paid,Germany,2026-06-07
6006,106,2026-06-03,65.00,Returned,Refunded,Australia,
6007,101,2026-06-04,980.00,Delivered,Paid,UK,2026-06-08
6008,102,2026-06-04,310.40,Shipped,Paid,India,2026-06-09
6009,107,2026-06-05,44.99,Cancelled,Failed,UK,
6010,108,2026-06-05,155.25,Created,Pending,India,
6011,109,2026-06-06,1320.00,Delivered,Paid,USA,2026-06-10
6012,110,2026-06-06,230.10,Shipped,Paid,Canada,2026-06-11
6013,111,2026-06-07,75.50,Created,Pending,Germany,
6014,112,2026-06-07,640.00,Returned,Refunded,Australia,
6015,105,2026-06-08,410.00,Delivered,Paid,Germany,2026-06-12
6016,106,2026-06-08,28.99,Cancelled,Failed,Australia,
6017,109,2026-06-09,875.30,Shipped,Paid,USA,2026-06-14
6018,110,2026-06-09,199.99,Delivered,Paid,Canada,2026-06-13
6019,103,2026-06-10,540.45,Delivered,Paid,USA,2026-06-15
6020,108,2026-06-10,115.75,Created,Pending,India,
6021,113,2026-06-11,22.50,Delivered,Paid,UK,2026-06-14
6022,114,2026-06-12,705.00,Cancelled,Failed,India,
6023,115,2026-06-13,48.25,Created,Pending,USA,
6024,101,2026-06-14,250.00,Delivered,Paid,UK,2026-06-18
6025,102,2026-06-15,1500.00,Delivered,Paid,India,2026-06-20
