order_id,customer_id,order_date,order_amount,order_status,payment_status,country,delivery_date
O1001,C001,2026-02-01,125.50,Delivered,Paid,UK,2026-02-04
O1002,C002,2026-02-01,42.99,Shipped,Paid,India,2026-02-05
O1003,C003,2026-02-01,610.00,Created,Pending,USA,
O1004,C004,2026-02-02,89.75,Delivered,Paid,Canada,2026-02-06
O1005,C005,2026-02-02,735.20,Delivered,Paid,Germany,2026-02-07
O1006,C006,2026-02-02,28.50,Cancelled,Failed,Australia,
O1007,C007,2026-02-03,215.00,Shipped,Paid,UK,2026-02-08
O1008,C008,2026-02-03,540.40,Delivered,Paid,India,2026-02-09
O1009,C009,2026-02-03,19.99,Returned,Refunded,USA,2026-02-08
O1010,C010,2026-02-04,320.00,Delivered,Paid,Canada,2026-02-09
O1011,C011,2026-02-04,67.45,Created,Pending,Germany,
O1012,C012,2026-02-04,880.00,Delivered,Paid,Australia,2026-02-10
O1013,C013,2026-02-05,45.00,Cancelled,Refunded,UK,
O1014,C014,2026-02-05,158.35,Delivered,Paid,India,2026-02-10
O1015,C015,2026-02-05,510.10,Shipped,Paid,USA,2026-02-11
O1016,C001,2026-02-06,72.25,Delivered,Paid,UK,2026-02-10
O1017,C002,2026-02-06,990.00,Delivered,Paid,India,2026-02-12
O1018,C003,2026-02-06,33.80,Cancelled,Failed,USA,
O1019,C004,2026-02-07,405.60,Shipped,Paid,Canada,2026-02-13
O1020,C005,2026-02-07,58.00,Delivered,Paid,Germany,2026-02-12
O1021,C006,2026-02-07,645.75,Created,Pending,Australia,
O1022,C007,2026-02-08,140.00,Delivered,Paid,UK,2026-02-13
O1023,C008,2026-02-08,27.95,Returned,Refunded,India,2026-02-12
O1024,C009,2026-02-08,299.99,Delivered,Paid,USA,2026-02-14
O1025,C010,2026-02-09,555.55,Delivered,Paid,Canada,2026-02-15
O1026,C011,2026-02-09,48.75,Shipped,Pending,Germany,2026-02-14
O1027,C012,2026-02-09,760.30,Delivered,Paid,Australia,2026-02-16
O1028,C013,2026-02-10,115.00,Created,Pending,UK,
O1029,C014,2026-02-10,520.00,Delivered,Paid,India,2026-02-16
O1030,C015,2026-02-10,39.99,Cancelled,Failed,USA,
