order_id,customer_id,order_date,order_amount,order_status,payment_status,country,delivery_date
O2001,C001,2026-02-01,125.50,Delivered,Paid,UK,2026-02-04
O2002,C002,2026-02-01,42.99,Shipped,Paid,India,2026-02-05
O2003,C003,2026-02-01,610.00,Created,Pending,USA,
O2004,C004,2026-02-02,89.75,Delivered,Paid,Canada,2026-02-06
O2005,C005,2026-02-02,735.20,Delivered,Paid,Germany,2026-02-07
O2006,C006,2026-02-02,28.50,Cancelled,Failed,Australia,
O2007,C007,2026-02-03,215.00,Shipped,Paid,UK,2026-02-08
O2008,C008,2026-02-03,540.40,Delivered,Paid,India,2026-02-09
O2009,C009,2026-02-03,19.99,Returned,Refunded,USA,2026-02-08
O2010,C010,2026-02-04,320.00,Delivered,Paid,Canada,2026-02-09
O2011,C011,2026-02-04,67.45,Created,Pending,Germany,
O2012,C012,2026-02-04,880.00,Delivered,Paid,Australia,2026-02-10
O2013,C013,2026-02-05,45.00,Cancelled,Refunded,UK,
O2014,C014,2026-02-05,158.35,Delivered,Paid,India,2026-02-10
O2015,C015,2026-02-05,510.10,Shipped,Paid,USA,2026-02-11
O2016,C001,2026-02-06,72.25,Delivered,Paid,UK,2026-02-10
O2017,C002,2026-02-06,990.00,Delivered,Paid,India,2026-02-12
O2018,C003,2026-02-06,33.80,Cancelled,Failed,USA,
O2019,C004,2026-02-07,405.60,Shipped,Paid,Canada,2026-02-13
O2020,C005,2026-02-07,58.00,Delivered,Paid,Germany,2026-02-12
O2021,C006,2026-02-07,645.75,Created,Pending,Australia,
O2022,C007,2026-02-08,140.00,Delivered,Paid,UK,2026-02-13
O2023,C008,2026-02-08,27.95,Returned,Refunded,India,2026-02-12
O2024,C009,2026-02-08,299.99,Delivered,Paid,USA,2026-02-14
O2025,C010,2026-02-09,555.55,Delivered,Paid,Canada,2026-02-15
O2026,C011,2026-02-09,48.75,Shipped,Pending,Germany,2026-02-14
O2027,C012,2026-02-09,760.30,Delivered,Paid,Australia,2026-02-16
O2028,C013,2026-02-10,115.00,Created,Pending,UK,
O2029,C014,2026-02-10,520.00,Delivered,Paid,India,2026-02-16
O2030,C015,2026-02-10,39.99,Cancelled,Failed,USA,
O2031,C016,2026-02-11,705.25,Delivered,Paid,Canada,2026-02-17
O2032,C017,2026-02-11,92.10,Returned,Refunded,Germany,2026-02-16
O2033,C018,2026-02-11,24.50,Created,Failed,Australia,
O2034,C001,2026-02-12,430.00,Delivered,Paid,UK,2026-02-18
O2034,C001,2026-02-12,430.00,Delivered,Paid,UK,2026-02-18
