performance_date,campaign_id,channel,country,impressions,clicks,cost,conversions,revenue
2026-03-01,CMP201,Search,UK,12000,640,320.50,32,1850.00
2026-03-01,CMP202,Social,India,15000,780,260.00,28,1420.00
2026-03-02,CMP201,Search,UK,13500,710,345.25,36,2040.00
2026-03-02,CMP203,Email,USA,8000,520,110.00,24,1320.00
2026-03-03,CMP202,Social,India,16200,830,275.40,31,1580.00
2026-03-03,CMP204,Display,Canada,9000,310,210.75,12,760.00
2026-03-04,CMP203,Email,USA,8700,560,118.30,26,1485.00
2026-03-04,CMP205,Affiliate,Germany,6200,240,150.00,14,920.00
2026-03-05,CMP204,Display,Canada,9800,335,225.60,13,810.00
2026-03-05,CMP206,Search,Australia,11000,590,305.00,27,1675.00
2026-03-06,CMP205,Affiliate,Germany,7000,285,165.50,16,1040.00
2026-03-06,CMP207,Social,UK,14200,760,255.75,29,1510.00
2026-03-07,CMP206,Search,Australia,11800,620,318.40,30,1760.00
2026-03-07,CMP208,Email,India,7600,480,98.20,22,1210.00
2026-03-08,CMP207,Social,UK,15100,805,270.15,34,1695.00
2026-03-08,CMP209,Display,USA,10500,360,240.00,15,930.00
2026-03-09,CMP208,Email,India,8200,515,105.60,24,1295.00
2026-03-09,CMP210,Affiliate,Canada,5400,210,130.25,9,520.00
2026-03-10,CMP209,Display,USA,11200,395,252.80,17,1025.00
2026-03-10,CMP211,Search,Germany,12500,670,330.00,33,1900.00
2026-03-11,CMP210,Affiliate,Canada,5900,230,138.75,10,575.00
2026-03-11,CMP212,Social,Australia,13200,705,245.50,28,1460.00
2026-03-12,CMP211,Search,Germany,13800,735,355.10,37,2115.00
2026-03-12,CMP201,Search,UK,12800,690,338.20,35,1980.00
2026-03-13,CMP212,Social,Australia,14000,750,258.90,30,1550.00
2026-03-13,CMP203,Email,USA,9100,590,125.00,28,1565.00
2026-03-14,CMP205,Affiliate,Germany,7600,315,172.35,18,1120.00
2026-03-14,CMP204,Display,Canada,10100,350,232.10,14,845.00
2026-03-15,CMP999,Search,USA,9000,410,210.00,16,980.00
2026-03-15,CMP999,Social,India,8800,390,205.00,15,920.00
