order_id,customer_id,order_date,order_amount,order_status,payment_status,country
O3001,C001,2026-03-01,125.50,Delivered,Paid,UK
O3002,C002,2026-03-01,42.99,Shipped,Paid,India
O3003,C003,2026-03-01,610.00,Created,Pending,USA
O3004,C004,2026-03-02,89.75,Delivered,Paid,Canada
O3005,C005,2026-03-02,735.20,Delivered,Paid,Germany
O3006,C006,2026-03-02,28.50,Cancelled,Failed,Australia
O3007,C007,2026-03-03,215.00,Shipped,Paid,UK
O3008,C008,2026-03-03,540.40,Delivered,Paid,India
O3009,C009,2026-03-03,19.99,Returned,Refunded,USA
O3010,C010,2026-03-04,320.00,Delivered,Paid,Canada
O3011,C011,2026-03-04,67.45,Created,Pending,Germany
O3012,C012,2026-03-04,880.00,Delivered,Paid,Australia
O3013,C013,2026-03-05,45.00,Cancelled,Refunded,UK
O3014,C014,2026-03-05,158.35,Delivered,Paid,India
O3015,C001,2026-03-05,510.10,Shipped,Paid,UK
O3016,C002,2026-03-06,72.25,Delivered,Paid,India
O3017,C003,2026-03-06,990.00,Delivered,Paid,USA
O3018,C004,2026-03-06,33.80,Cancelled,Failed,Canada
O3019,C005,2026-03-07,405.60,Shipped,Paid,Germany
O3020,C006,2026-03-07,58.00,Delivered,Paid,Australia
O3021,C007,2026-03-07,645.75,Created,Pending,UK
O3022,C008,2026-03-08,140.00,Delivered,Paid,India
O3023,C009,2026-03-08,27.95,Returned,Refunded,USA
O3024,C999,2026-03-08,299.99,Delivered,Paid,USA
O3025,C010,2026-03-09,555.55,Delivered,Paid,Canada
