performance_date,campaign_id,channel,country,impressions,clicks,cost,conversions,revenue
2026-04-01,CMP401,Search,UK,12000,640,320.50,32,1850.00
2026-04-01,CMP402,Social,India,15000,780,260.00,28,1420.00
2026-04-02,CMP401,Search,UK,13500,710,345.25,36,2040.00
2026-04-02,CMP403,Email,USA,8000,520,110.00,24,1320.00
2026-04-03,CMP402,Social,India,16200,830,275.40,31,1580.00
2026-04-03,CMP404,Display,Canada,9000,310,210.75,12,760.00
2026-04-04,CMP403,Email,USA,8700,560,118.30,26,1485.00
2026-04-04,CMP405,Affiliate,Germany,6200,240,150.00,14,920.00
2026-04-05,CMP404,Display,Canada,9800,335,225.60,13,810.00
2026-04-05,CMP406,Search,Australia,11000,590,305.00,27,1675.00
2026-04-06,CMP405,Affiliate,Germany,7000,285,165.50,16,1040.00
2026-04-06,CMP407,Social,UK,14200,760,255.75,29,1510.00
2026-04-07,CMP406,Search,Australia,11800,620,318.40,30,1760.00
2026-04-07,CMP408,Email,India,7600,480,98.20,22,1210.00
2026-04-08,CMP407,Social,UK,15100,805,270.15,34,1695.00
2026-04-08,CMP409,Display,USA,10500,360,240.00,15,930.00
2026-04-09,CMP408,Email,India,8200,515,105.60,24,1295.00
2026-04-09,CMP410,Affiliate,Canada,5400,210,130.25,9,520.00
2026-04-10,CMP409,Display,USA,11200,395,252.80,17,1025.00
2026-04-10,CMP411,Search,Germany,12500,670,330.00,33,1900.00
2026-04-11,CMP410,Affiliate,Canada,5900,230,138.75,10,575.00
2026-04-11,CMP412,Social,Australia,13200,705,245.50,28,1460.00
2026-04-12,CMP411,Search,Germany,13800,735,355.10,37,2115.00
2026-04-12,CMP401,Search,UK,12800,690,338.20,35,1980.00
2026-04-13,CMP412,Social,Australia,14000,750,258.90,30,1550.00
2026-04-13,CMP403,Email,USA,9100,590,125.00,28,1565.00
2026-04-14,CMP405,Affiliate,Germany,7600,315,172.35,18,1120.00
2026-04-14,CMP404,Display,Canada,10100,350,232.10,14,845.00
2026-04-15,CMP999,Search,USA,9000,410,210.00,16,980.00
2026-04-15,CMP998,Social,India,8800,390,205.00,15,920.00
2026-04-16,CMP401,Search,UK,12900,705,340.00,36,2025.00
2026-04-16,CMP402,Social,India,17100,890,295.00,36,1780.00
2026-04-17,CMP406,Search,Australia,12400,655,328.00,32,1855.00
2026-04-17,CMP407,Social,UK,15250,815,275.00,35,1715.00
2026-04-18,CMP411,Search,Germany,14000,745,360.00,38,2185.00
