order_id,customer_id,order_date,order_amount,order_status,payment_status,country
O4001,C001,2026-04-01,125.50,Delivered,Paid,UK
O4002,C002,2026-04-01,42.99,Shipped,Paid,India
O4003,C003,2026-04-01,610.00,Created,Pending,USA
O4004,C004,2026-04-02,89.75,Delivered,Paid,Canada
O4005,C005,2026-04-02,735.20,Delivered,Paid,Germany
O4006,C006,2026-04-02,28.50,Cancelled,Failed,Australia
O4007,C007,2026-04-03,215.00,Shipped,Paid,UK
O4008,C008,2026-04-03,540.40,Delivered,Paid,India
O4009,C009,2026-04-03,19.99,Returned,Refunded,USA
O4010,C010,2026-04-04,320.00,Delivered,Paid,Canada
O4011,C011,2026-04-04,67.45,Created,Pending,Germany
O4012,C012,2026-04-04,880.00,Delivered,Paid,Australia
O4013,C013,2026-04-05,45.00,Cancelled,Refunded,UK
O4014,C014,2026-04-05,158.35,Delivered,Paid,India
O4015,C001,2026-04-05,510.10,Shipped,Paid,UK
O4016,C002,2026-04-06,72.25,Delivered,Paid,India
O4017,C003,2026-04-06,990.00,Delivered,Paid,USA
O4018,C004,2026-04-06,33.80,Cancelled,Failed,Canada
O4019,C005,2026-04-07,405.60,Shipped,Paid,Germany
O4020,C006,2026-04-07,58.00,Delivered,Paid,Australia
O4021,C007,2026-04-07,645.75,Created,Pending,UK
O4022,C008,2026-04-08,140.00,Delivered,Paid,India
O4023,C009,2026-04-08,27.95,Returned,Refunded,USA
O4024,C999,2026-04-08,299.99,Delivered,Paid,USA
O4025,C010,2026-04-09,555.55,Delivered,Paid,Canada
O4026,C001,2026-04-09,230.00,Delivered,Paid,UK
O4027,C004,2026-04-10,84.40,Shipped,Pending,Canada
O4028,C888,2026-04-10,460.00,Created,Pending,Germany
O4029,C014,2026-04-10,710.30,Delivered,Paid,India
O4030,C016,2026-04-11,96.25,Delivered,Paid,Canada
