performance_date,campaign_id,channel,country,impressions,clicks,cost,conversions,revenue
2026-01-01,301,search,UK,10000,450,300,12,900
2026-01-02,301,Search,U.K.,8500,300,280,6,500
2026-01-03,302, social ,United Kingdom,12000,600,700,20,1600
2026-01-04,302,SOCIAL,UK,9000,250,650,4,400
2026-01-05,303,email,USA,5000,200,100,10,800
2026-01-06,303,EMAIL,U.S.A,4200,140,90,2,120
2026-01-07,304,display,United States,20000,300,900,0,0
2026-01-08,304,Display,USA,18000,280,850,3,300
2026-01-09,305,affiliate,India,7000,160,250,5,600
2026-01-10,305,Affiliate,India,6500,110,240,1,80
2026-01-11,306,search,Canada,15000,700,1000,30,3200
2026-01-12,306,SEARCH,Canada,14000,640,950,18,1200
2026-01-13,307,social,Germany,9000,410,500,11,1000
2026-01-14,307, Social ,Germany,8400,320,520,0,0
2026-01-15,308,email,Australia,3000,90,70,4,260
2026-01-16,308,EMAIL,Australia,2800,55,65,1,40
2026-01-17,309,display,UK,25000,500,1200,9,900
2026-01-18,309,DISPLAY,U.K.,23000,470,1150,14,1600
2026-01-19,310,affiliate,USA,6000,100,0,2,200
2026-01-20,310,Affiliate,U.S.A,5500,80,210,0,0
2026-01-21,311,search,India,4000,180,120,7,500
2026-01-22,311,search,India,3900,140,115,3,90
2026-01-23,312,search,United States,30000,1300,2000,50,8000
2026-01-24,312, Search ,USA,28000,900,1900,10,1900
2026-01-25,313,,Spain,1000,0,40,0,0
2026-01-26,314,email,India,7600,260,160,9,650
2026-01-27,314,Email,India,7100,220,155,4,140
2026-01-28,315,display,Canada,16000,310,600,8,780
2026-01-29,315,Display,Canada,15500,290,590,0,0
2026-01-30,316,social,U.K.,22000,800,1500,25,3400
2026-01-31,316,SOCIAL,UK,21000,760,1450,6,900
2026-02-01,301,search,UK,9700,410,310,13,930
2026-02-02,302,social,United Kingdom,11000,520,680,15,1500
2026-02-03,304,display,USA,19000,270,870,2,100
2026-02-04,306,search,Canada,15200,720,980,22,2500
