performance_date,campaign_id,channel,country,impressions,clicks,cost,conversions,revenue
2026-06-01,301,Search,UK,10000,450,300,12,900
2026-06-01,302,Social,USA,12000,600,700,20,1600
2026-06-02,303,Email,India,5000,200,100,10,800
2026-06-02,304,Display,Canada,20000,300,900,0,0
2026-06-03,305,Affiliate,Germany,7000,160,250,5,600
2026-06-03,301,Search,Australia,8500,300,280,6,500
2026-06-04,302,Social,UK,9000,250,650,4,400
2026-06-04,303,Email,USA,4200,140,90,2,120
2026-06-05,304,Display,India,18000,280,850,3,300
2026-06-05,305,Affiliate,Canada,6500,110,240,1,80
2026-06-06,301,Search,Germany,15000,700,1000,30,3200
2026-06-06,302,Social,Australia,14000,640,950,18,1200
2026-06-07,303,Email,UK,9000,410,500,11,1000
2026-06-07,304,Display,USA,8400,320,520,0,0
2026-06-08,305,Affiliate,India,3000,90,70,4,260
2026-06-08,301,Search,Canada,2800,55,65,1,40
2026-06-09,302,Social,Germany,25000,500,1200,9,900
2026-06-09,303,Email,Australia,23000,470,1150,14,1600
2026-06-10,304,Display,UK,6000,100,0,2,200
2026-06-10,305,Affiliate,USA,5500,80,210,0,0
2026-06-11,301,Search,India,4000,180,120,7,500
2026-06-12,302,Social,Canada,3900,140,115,3,90
2026-06-13,303,Email,Germany,30000,1300,2000,50,8000
2026-06-14,304,Display,Australia,28000,900,1900,10,1900
2026-06-15,305,Affiliate,UK,1000,0,40,0,0
2026-06-15,301,Search,USA,7600,260,160,9,650
2026-06-16,302,Social,India,7100,220,155,4,140
2026-06-17,303,Email,Canada,16000,310,600,8,780
2026-06-18,304,Display,Germany,15500,290,590,0,0
2026-06-19,305,Affiliate,Australia,22000,800,1500,25,3400
2026-06-20,301,Search,UK,21000,760,1450,6,900
2026-06-21,302,Social,USA,9700,410,310,13,930
2026-06-22,303,Email,India,11000,520,680,15,1500
2026-06-23,304,Display,Canada,19000,270,870,2,100
2026-06-24,305,Affiliate,Germany,15200,720,980,22,2500
2026-06-25,301,Search,Australia,13200,500,760,12,1100
2026-07-01,302,Social,UK,14500,610,880,17,1700
2026-07-02,303,Email,USA,6200,240,130,8,520
2026-07-03,304,Display,India,17500,260,820,1,60
2026-07-04,305,Affiliate,Canada,5900,95,230,0,0
2026-07-05,301,Search,Germany,16500,730,1010,28,3100
2026-07-06,302,Social,Australia,13800,590,900,16,1250
2026-07-07,303,Email,UK,8100,300,180,9,760
2026-07-08,304,Display,USA,20500,330,920,5,500
2026-07-09,305,Affiliate,India,7200,150,260,4,430
