order_id,customer_id,order_date,order_datetime,order_amount,order_status,payment_status,country
1001,1,2026-06-01,2026-06-01 09:15:00,25.00,Created,Pending,UK
1002,2,2026-06-01,2026-06-01 10:20:00,75.50,Shipped,Paid,USA
1003,3,2026-06-02,2026-06-02 11:05:00,180.00,Delivered,Paid,India
1004,4,2026-06-02,2026-06-02 13:40:00,210.99,Delivered,Failed,Canada
1005,5,2026-06-03,2026-06-03 08:30:00,499.00,Cancelled,Refunded,Germany
1006,6,2026-06-04,2026-06-04 15:45:00,650.00,Returned,Refunded,Australia
1007,7,2026-06-05,2026-06-05 12:10:00,35.99,Created,Pending,UK
1008,8,2026-06-05,2026-06-05 16:25:00,120.00,Shipped,Paid,USA
1009,9,2026-06-06,2026-06-06 09:50:00,520.00,Delivered,Paid,India
1010,10,2026-06-07,2026-06-07 14:10:00,15.00,Cancelled,Failed,Canada
1011,11,2026-06-08,2026-06-08 10:00:00,88.00,Created,Paid,Germany
1012,12,2026-06-09,2026-06-09 11:30:00,320.00,Shipped,Paid,Australia
1013,13,2026-06-10,2026-06-10 12:45:00,44.50,Delivered,Paid,UK
1014,14,2026-06-10,2026-06-10 17:05:00,700.00,Returned,Refunded,USA
1015,15,2026-06-11,2026-06-11 09:35:00,199.99,Delivered,Paid,India
1016,16,2026-06-12,2026-06-12 10:55:00,200.00,Shipped,Failed,Canada
1017,17,2026-06-13,2026-06-13 13:15:00,999.00,Delivered,Paid,Germany
1018,18,2026-06-14,2026-06-14 15:05:00,49.99,Created,Pending,Australia
1019,19,2026-06-15,2026-06-15 09:25:00,50.00,Delivered,Paid,UK
1020,20,2026-06-15,2026-06-15 14:35:00,149.00,Delivered,Paid,USA
1021,1,2026-06-16,2026-06-16 10:45:00,275.00,Cancelled,Refunded,India
1022,2,2026-06-17,2026-06-17 12:20:00,430.00,Shipped,Paid,Canada
1023,3,2026-06-18,2026-06-18 08:55:00,18.75,Created,Pending,Germany
1024,4,2026-06-19,2026-06-19 16:30:00,1200.00,Delivered,Paid,Australia
1025,5,2026-06-20,2026-06-20 11:40:00,0.00,Cancelled,Failed,UK
1026,6,2026-06-21,2026-06-21 13:30:00,58.25,Created,Pending,USA
1027,7,2026-06-22,2026-06-22 09:10:00,310.00,Returned,Refunded,India
1028,8,2026-06-23,2026-06-23 15:15:00,89.99,Shipped,Paid,Canada
1029,9,2026-06-24,2026-06-24 10:25:00,510.00,Delivered,Paid,Germany
1030,10,2026-06-25,2026-06-25 17:45:00,62.00,Created,Pending,Australia
1031,11,2026-07-01,2026-07-01 09:15:00,240.00,Delivered,Paid,UK
1032,12,2026-07-01,2026-07-01 12:05:00,37.25,Created,Pending,USA
1033,13,2026-07-02,2026-07-02 14:50:00,820.00,Delivered,Paid,India
1034,14,2026-07-03,2026-07-03 10:30:00,135.00,Shipped,Paid,Canada
1035,15,2026-07-04,2026-07-04 11:20:00,460.00,Cancelled,Failed,Germany
1036,16,2026-07-05,2026-07-05 16:40:00,95.00,Delivered,Paid,Australia
1037,17,2026-07-06,2026-07-06 08:25:00,580.00,Returned,Refunded,UK
1038,18,2026-07-07,2026-07-07 18:10:00,42.00,Created,Pending,USA
1039,19,2027-01-05,2027-01-05 09:00:00,105.00,Created,Pending,India
1040,20,,2026-07-08 10:00:00,230.00,Delivered,Paid,Canada
