pipeline_name,run_date,run_timestamp,status,records_processed,source_file_date,completed_at
orders_daily_load,2026-06-25,2026-06-25 07:00:00,Success,1250,2026-06-24,2026-06-25 07:08:00
customers_daily_load,2026-06-25,2026-06-25 07:10:00,Success,80,2026-06-24,2026-06-25 07:15:00
campaign_performance_load,2026-06-25,2026-06-25 07:20:00,Success,4500,2026-06-24,2026-06-25 07:30:00
website_events_load,2026-06-25,2026-06-25 07:35:00,Success,9800,2026-06-24,2026-06-25 07:50:00
daily_sales_summary_build,2026-06-25,2026-06-25 08:00:00,Success,12,2026-06-24,2026-06-25 08:05:00
orders_daily_load,2026-06-26,2026-06-26 07:00:00,Success,1300,2026-06-25,2026-06-26 07:09:00
customers_daily_load,2026-06-26,2026-06-26 07:10:00,Success,76,2026-06-25,2026-06-26 07:16:00
campaign_performance_load,2026-06-26,2026-06-26 07:20:00,Failed,0,2026-06-25,
website_events_load,2026-06-26,2026-06-26 07:35:00,Success,10200,2026-06-25,2026-06-26 07:52:00
daily_sales_summary_build,2026-06-26,2026-06-26 08:00:00,Skipped,0,2026-06-25,
orders_daily_load,2026-06-27,2026-06-27 07:00:00,Success,1180,2026-06-26,2026-06-27 07:08:00
customers_daily_load,2026-06-27,2026-06-27 07:10:00,Success,0,2026-06-26,2026-06-27 07:12:00
campaign_performance_load,2026-06-27,2026-06-27 07:20:00,Success,4700,2026-06-26,2026-06-27 07:34:00
website_events_load,2026-06-27,2026-06-27 07:35:00,Running,0,2026-06-26,
daily_sales_summary_build,2026-06-27,2026-06-27 08:00:00,Success,12,2026-06-26,2026-06-27 08:06:00
orders_daily_load,2026-07-01,2026-07-01 07:00:00,Success,1400,2026-06-30,2026-07-01 07:09:00
customers_daily_load,2026-07-01,2026-07-01 07:10:00,Success,92,2026-06-30,2026-07-01 07:14:00
campaign_performance_load,2026-07-01,2026-07-01 07:20:00,Success,5000,2026-06-30,2026-07-01 07:33:00
website_events_load,2026-07-01,2026-07-01 07:35:00,Success,11100,2026-06-30,2026-07-01 07:51:00
daily_sales_summary_build,2026-07-01,2026-07-01 08:00:00,Success,12,2026-06-30,2026-07-01 08:07:00
orders_daily_load,2026-07-02,2026-07-02 07:00:00,Failed,0,2026-07-01,
customers_daily_load,2026-07-02,2026-07-02 07:10:00,Success,88,2026-07-01,2026-07-02 07:15:00
campaign_performance_load,2026-07-02,2026-07-02 07:20:00,Success,4900,2026-07-01,2026-07-02 07:32:00
website_events_load,2026-07-02,2026-07-02 07:35:00,Success,0,,2026-07-02 07:45:00
daily_sales_summary_build,2026-07-02,2026-07-02 08:00:00,Success,12,2026-07-01,2026-07-02 08:05:00
