event_id,user_id,event_date,event_timestamp,event_type,page_name,country
1,501,2026-06-01,2026-06-01 08:01:00,page_view,home,UK
2,502,2026-06-01,2026-06-01 08:05:00,button_click,pricing,USA
3,503,2026-06-01,2026-06-01 08:15:00,signup,signup,India
4,504,2026-06-02,2026-06-02 09:10:00,page_view,home,Canada
5,505,2026-06-02,2026-06-02 09:18:00,purchase,checkout,Germany
6,506,2026-06-03,2026-06-03 10:20:00,page_view,product,Australia
7,507,2026-06-03,2026-06-03 10:25:00,logout,account,UK
8,508,2026-06-04,2026-06-04 11:00:00,button_click,home,USA
9,509,2026-06-04,2026-06-04 11:15:00,page_view,pricing,India
10,510,2026-06-05,2026-06-05 12:10:00,signup,signup,Canada
11,511,2026-06-05,2026-06-05 12:25:00,purchase,checkout,Germany
12,512,2026-06-06,2026-06-06 13:05:00,page_view,home,Australia
13,513,2026-06-06,2026-06-06 13:12:00,button_click,product,UK
14,514,2026-06-07,2026-06-07 14:20:00,page_view,home,USA
15,515,2026-06-07,2026-06-07 14:35:00,logout,account,India
16,516,2026-06-08,2026-06-08 15:10:00,page_view,pricing,Canada
17,517,2026-06-08,2026-06-08 15:18:00,signup,signup,Germany
18,518,2026-06-09,2026-06-09 16:00:00,purchase,checkout,Australia
19,519,2026-06-09,2026-06-09 16:25:00,page_view,product,UK
20,520,2026-06-10,2026-06-10 17:10:00,button_click,pricing,USA
21,521,2026-06-10,2026-06-10 17:30:00,page_view,home,India
22,522,2026-06-11,2026-06-11 08:45:00,signup,signup,Canada
23,523,2026-06-12,2026-06-12 09:15:00,page_view,product,Germany
24,524,2026-06-13,2026-06-13 10:05:00,purchase,checkout,Australia
25,525,2026-06-14,2026-06-14 11:20:00,logout,account,UK
26,526,2026-06-15,2026-06-15 08:05:00,page_view,home,USA
27,527,2026-06-15,2026-06-15 08:20:00,button_click,pricing,India
28,528,2026-06-15,2026-06-15 08:45:00,signup,signup,Canada
29,529,2026-06-16,2026-06-16 09:30:00,purchase,checkout,Germany
30,530,2026-06-17,2026-06-17 10:40:00,page_view,product,Australia
31,531,2026-06-18,2026-06-18 11:50:00,page_view,home,UK
32,532,2026-06-19,2026-06-19 12:15:00,button_click,pricing,USA
33,533,2026-06-20,2026-06-20 13:25:00,signup,signup,India
34,534,2026-06-21,2026-06-21 14:35:00,page_view,home,Canada
35,535,2026-06-22,2026-06-22 15:45:00,purchase,checkout,Germany
36,536,2026-06-23,2026-06-23 16:55:00,logout,account,Australia
37,537,2026-06-24,2026-06-24 17:05:00,page_view,product,UK
38,538,2026-06-25,2026-06-25 18:15:00,button_click,home,USA
39,539,2026-07-01,2026-07-01 08:10:00,page_view,pricing,India
40,540,2026-07-02,2026-07-02 09:20:00,signup,signup,Canada
41,541,2026-07-03,2026-07-03 10:30:00,purchase,checkout,Germany
42,542,2026-07-04,2026-07-04 11:40:00,page_view,home,Australia
43,543,2026-07-05,2026-07-05 12:50:00,button_click,product,UK
44,544,2026-07-06,2026-07-06 13:00:00,logout,account,USA
45,545,2026-07-07,2026-07-07 14:10:00,page_view,home,India
