performance_date,campaign_id,channel,country,impressions,clicks,cost,conversions,revenue
2026-05-01,301,Search,UK,9000,420,300,10,850
2026-05-02,302,Social,India,11000,560,650,18,1400
2026-05-03,303,Email,USA,5200,210,110,7,620
2026-05-04,304,Display,Canada,18000,280,900,0,0
2026-05-05,305,Affiliate,Germany,6300,120,260,4,420
2026-05-06,301,Search,Australia,9800,460,340,12,920
2026-05-07,302,Social,UK,12500,610,720,20,1550
2026-05-08,303,Email,India,4700,160,95,3,180
2026-05-09,304,Display,USA,21000,310,980,1,60
2026-05-10,305,Affiliate,Canada,5800,90,240,0,0
2026-05-11,301,Search,Germany,14500,700,880,25,2800
2026-05-12,302,Social,Australia,13200,590,790,15,1300
2026-05-13,303,Email,UK,6400,250,130,8,640
2026-05-14,304,Display,India,22000,340,1000,2,140
2026-05-15,305,Affiliate,USA,7000,150,300,5,500
2026-06-01,301,Search,UK,16000,760,950,28,3100
2026-06-02,302,Social,India,18500,820,1200,30,3600
2026-06-03,303,Email,USA,7600,300,180,9,850
2026-06-04,304,Display,Canada,30000,500,2500,2,200
2026-06-05,305,Affiliate,Germany,8200,180,420,6,720
2026-06-06,301,Search,Australia,17000,790,980,26,3000
2026-06-07,302,Social,UK,19500,850,1300,32,3900
2026-06-08,303,Email,India,8100,320,190,10,900
2026-06-09,304,Display,USA,32000,540,2700,0,0
2026-06-10,305,Affiliate,Canada,8800,190,450,7,760
2026-06-11,301,Search,Germany,17500,810,1000,27,3150
2026-06-12,302,Social,Australia,20000,880,1400,34,4100
2026-06-13,303,Email,UK,8400,330,200,11,930
2026-06-14,304,Display,India,34000,560,2900,3,250
2026-06-15,305,Affiliate,USA,9000,200,480,8,820
2026-06-16,301,Search,Canada,18000,830,1050,29,3300
2026-06-17,302,Social,Germany,21000,900,1500,35,4200
2026-06-18,303,Email,Australia,8700,340,210,12,950
2026-06-19,304,Display,UK,36000,590,3000,0,0
2026-06-20,305,Affiliate,India,9400,210,500,9,860
2026-07-01,301,Search,UK,4000,130,180,2,90
2026-07-02,302,Social,India,5200,180,260,3,120
2026-07-03,303,Email,USA,2100,70,80,1,60
2026-07-04,304,Display,Canada,9000,100,900,0,0
2026-07-05,305,Affiliate,Germany,3000,60,150,0,0
2026-07-06,301,Search,Australia,4500,140,190,2,95
2026-07-07,302,Social,UK,5400,190,270,3,130
2026-07-08,303,Email,India,2300,80,85,1,65
2026-07-09,304,Display,USA,9500,110,920,0,0
2026-07-10,305,Affiliate,Canada,3100,65,160,0,0
2026-07-11,301,Search,Germany,4600,150,200,2,100
2026-07-12,302,Social,Australia,5600,200,280,3,150
2026-07-13,303,Email,UK,2400,90,90,1,70
2026-07-14,304,Display,India,9800,120,940,0,0
2026-07-15,305,Affiliate,USA,3200,70,170,1,75
2026-08-01,301,Search,UK,12000,520,620,16,1800
2026-08-02,302,Social,India,14000,680,850,22,2400
2026-08-03,303,Email,USA,6000,260,150,8,700
2026-08-04,304,Display,Canada,22000,360,1100,4,360
2026-08-05,305,Affiliate,Germany,7200,160,300,5,520
2026-08-06,301,Search,Australia,12800,540,640,18,1900
2026-08-07,302,Social,UK,14800,700,880,24,2600
2026-08-08,303,Email,India,6200,270,160,9,730
2026-08-09,304,Display,USA,23000,370,1150,0,0
2026-08-10,305,Affiliate,Canada,7400,170,320,6,560
2026-08-11,301,Search,Germany,13200,560,660,19,1950
2026-08-12,302,Social,Australia,15000,720,900,25,2700
2026-08-13,303,Email,UK,6500,280,170,10,760
2026-08-14,304,Display,India,24000,390,1200,4,390
2026-08-15,305,Affiliate,USA,7600,180,340,6,600
2026-08-16,301,Search,Canada,13600,580,680,20,2050
2026-08-17,302,Social,Germany,15500,740,930,26,2800
2026-08-18,303,Email,Australia,6700,290,180,10,780
2026-08-19,304,Display,UK,24500,400,1250,5,410
2026-08-20,305,Affiliate,India,7800,190,350,7,650
