summary_date,country,total_orders,total_sales,paid_orders,failed_payments,cancelled_orders
2026-05-01,UK,8,980.00,7,0,0
2026-05-01,India,10,1240.00,9,0,0
2026-05-02,USA,6,720.00,5,1,0
2026-05-03,Canada,5,480.00,4,0,0
2026-05-04,Germany,4,90.00,2,1,1
2026-05-05,Australia,7,1100.00,6,0,0
2026-05-06,UK,9,1320.00,8,0,0
2026-05-07,India,12,1560.00,10,1,0
2026-05-08,USA,5,275.00,3,1,1
2026-05-09,Canada,6,640.00,5,0,0
2026-06-01,UK,14,1680.00,13,0,0
2026-06-01,India,16,2100.00,15,0,0
2026-06-02,USA,9,850.00,7,1,0
2026-06-03,Canada,12,1940.00,11,0,0
2026-06-04,Germany,6,60.00,1,6,2
2026-06-05,Australia,13,1810.00,12,0,0
2026-06-06,UK,10,980.00,8,1,0
2026-06-07,India,8,560.00,5,0,2
2026-06-08,USA,11,1420.00,10,0,0
2026-06-09,Canada,15,2200.00,14,0,0
2026-06-10,Germany,0,0.00,0,0,0
2026-06-11,Australia,12,1760.00,11,0,0
2026-06-12,UK,9,760.00,8,0,0
2026-06-13,India,10,840.00,7,1,1
2026-06-14,USA,13,1600.00,12,0,0
2026-06-16,Canada,5,450.00,4,0,0
2026-07-01,UK,3,75.00,2,0,0
2026-07-02,India,4,95.00,3,0,0
2026-07-03,USA,5,120.00,4,0,0
2026-07-04,Canada,2,18.00,0,2,1
2026-07-05,Germany,3,70.00,2,0,0
2026-07-06,Australia,4,110.00,3,0,0
2026-07-07,UK,2,25.00,1,0,1
2026-07-08,India,3,38.00,1,0,0
2026-07-09,USA,5,115.00,4,0,0
2026-07-10,Canada,2,20.00,0,7,1
2026-08-01,UK,12,1800.00,11,0,0
2026-08-02,India,14,2400.00,13,0,0
2026-08-03,USA,9,900.00,8,0,0
2026-08-04,Canada,8,780.00,7,0,0
2026-08-05,Germany,7,660.00,5,1,1
2026-08-06,Australia,11,1250.00,10,0,0
2026-08-07,UK,13,2100.00,12,0,0
2026-08-08,India,10,850.00,8,0,1
2026-08-09,USA,9,1180.00,8,0,0
2026-08-10,Canada,6,58.00,3,1,0
2026-08-11,Germany,10,1320.00,9,0,0
2026-08-12,Australia,8,740.00,7,0,0
2026-08-13,UK,12,1600.00,11,0,0
2026-08-14,India,9,980.00,8,0,0
