summary_year,summary_month,country,total_orders,total_sales,paid_orders,failed_payments,cancelled_orders
2026,5,UK,30,3650.00,27,1,1
2026,5,India,28,3370.00,25,1,0
2026,5,USA,24,2460.00,20,3,1
2026,5,Canada,22,2180.00,19,1,0
2026,5,Germany,18,640.00,12,4,2
2026,5,Australia,25,3600.00,23,0,0
2026,6,UK,36,5200.00,33,1,0
2026,6,India,34,4980.00,30,1,2
2026,6,USA,31,4720.00,28,1,0
2026,6,Canada,33,5590.00,31,0,0
2026,6,Germany,20,60.00,1,14,3
2026,6,Australia,32,5350.00,30,0,0
2026,7,UK,8,100.00,5,0,1
2026,7,India,9,133.00,4,0,0
2026,7,USA,10,295.00,8,0,0
2026,7,Canada,4,38.00,0,12,2
2026,7,Germany,6,120.00,4,0,0
2026,7,Australia,7,155.00,5,0,0
2026,8,UK,35,5500.00,32,0,0
2026,8,India,32,4230.00,29,0,1
2026,8,USA,28,3810.00,25,0,0
2026,8,Canada,26,838.00,20,2,0
2026,8,Germany,24,2980.00,21,1,1
2026,8,Australia,0,0.00,0,0,0
2026,8,UK,35,5500.00,32,0,0
