order_id,customer_id,order_date,order_amount,order_status,payment_status,country,source_file
ORD1001,C001,2026-01-05,120.00,Delivered,Paid,UK,orders_jan.csv
ORD1002,C002,2026-01-06,75.50,Shipped,Paid,India,orders_jan.csv
ORD1003,C003,2026-01-07,220.00,Created,Pending,USA,orders_jan.csv
ORD1004,C004,2026-01-08,48.00,Cancelled,Failed,Canada,orders_jan.csv
ORD1005,C005,2026-01-09,310.00,Delivered,Paid,Germany,orders_jan.csv
ORD1005,C005,2026-01-09,310.00,Delivered,Paid,Germany,orders_jan.csv
ORD1006,C006,2026-01-10,89.00,Created,Pending,Australia,orders_jan.csv
ORD1006,C006,2026-01-10,89.00,Shipped,Pending,Australia,orders_retry.csv
ORD1007,C007,2026-01-11,540.00,Delivered,Paid,UK,orders_jan.csv
ORD1008,C008,2026-01-12,65.00,Returned,Refunded,India,orders_jan.csv
ORD1009,C009,2026-01-13,150.00,Delivered,Paid,USA,orders_jan.csv
ORD1010,C010,2026-01-14,210.00,Shipped,Paid,Canada,orders_jan.csv
ORD1010,C010,2026-01-14,210.00,Shipped,Failed,Canada,orders_retry.csv
ORD1011,C011,2026-02-01,99.00,Created,Pending,Germany,orders_feb.csv
ORD1012,C012,2026-02-02,450.00,Delivered,Paid,Australia,orders_feb.csv
ORD1013,C013,2026-02-03,35.00,Cancelled,Failed,UK,orders_feb.csv
ORD1014,C014,2026-02-04,760.00,Delivered,Paid,India,orders_feb.csv
ORD1015,C015,2026-02-05,140.00,Shipped,Paid,USA,orders_feb.csv
ORD1016,C016,2026-02-06,88.00,Created,Pending,Canada,orders_feb.csv
ORD1017,C017,2026-02-07,320.00,Delivered,Paid,Germany,orders_feb.csv
ORD1018,C018,2026-02-08,52.00,Returned,Refunded,Australia,orders_feb.csv
ORD1019,C019,2026-02-09,180.00,Delivered,Paid,UK,orders_feb.csv
ORD1020,C020,2026-02-10,260.00,Delivered,Paid,India,orders_feb.csv
ORD1020,C020,2026-02-10,260.00,Delivered,Paid,India,orders_retry.csv
ORD1021,C021,2026-02-11,44.00,Created,Pending,USA,orders_feb.csv
ORD1022,C022,2026-02-12,610.00,Delivered,Paid,Canada,orders_feb.csv
ORD1023,C023,2026-02-13,95.00,Cancelled,Failed,Germany,orders_feb.csv
ORD1024,C024,2026-02-14,380.00,Shipped,Paid,Australia,orders_feb.csv
ORD1025,C025,2026-02-15,120.00,Delivered,Paid,UK,orders_feb.csv
ORD1025,C025,2026-02-15,120.00,Delivered,Paid,UK,orders_retry.csv
ORD1026,C026,2026-02-16,275.00,Delivered,Paid,India,orders_feb.csv
ORD1027,C001,2026-02-17,68.00,Created,Pending,USA,orders_feb.csv
ORD1028,C002,2026-02-18,410.00,Delivered,Paid,Canada,orders_feb.csv
ORD1029,C003,2026-02-19,55.00,Returned,Refunded,Germany,orders_feb.csv
ORD1030,C004,2026-02-20,700.00,Delivered,Paid,Australia,orders_feb.csv
