event_id,user_id,event_date,event_timestamp,event_type,page_name,country,source_file
EVT1001,U001,2026-02-01,2026-02-01 09:00:00,page_view,home,UK,events_part_1.csv
EVT1002,U002,2026-02-01,2026-02-01 09:05:00,button_click,pricing,India,events_part_1.csv
EVT1003,U003,2026-02-01,2026-02-01 09:10:00,signup,signup,USA,events_part_1.csv
EVT1004,U004,2026-02-02,2026-02-02 10:00:00,purchase,checkout,Canada,events_part_1.csv
EVT1005,U005,2026-02-02,2026-02-02 10:05:00,logout,account,Germany,events_part_1.csv
EVT1006,U001,2026-02-02,2026-02-02 10:10:00,page_view,product,UK,events_part_1.csv
EVT1007,U006,2026-02-03,2026-02-03 11:00:00,page_view,home,Australia,events_part_1.csv
EVT1008,U007,2026-02-03,2026-02-03 11:05:00,button_click,home,UK,events_part_1.csv
EVT1009,U008,2026-02-03,2026-02-03 11:10:00,signup,signup,India,events_part_1.csv
EVT1010,U009,2026-02-04,2026-02-04 12:00:00,purchase,checkout,USA,events_part_1.csv
EVT1010,U009,2026-02-04,2026-02-04 12:00:00,purchase,checkout,USA,events_part_1.csv
EVT1011,U010,2026-02-04,2026-02-04 12:05:00,page_view,home,Canada,events_part_1.csv
EVT1012,U011,2026-02-05,2026-02-05 13:00:00,logout,account,Germany,events_part_1.csv
EVT1013,U012,2026-02-05,2026-02-05 13:05:00,page_view,pricing,Australia,events_part_1.csv
EVT1014,U013,2026-02-05,2026-02-05 13:10:00,button_click,pricing,UK,events_part_1.csv
EVT1015,U014,2026-02-06,2026-02-06 14:00:00,signup,signup,India,events_part_1.csv
EVT1016,U015,2026-02-06,2026-02-06 14:05:00,purchase,checkout,USA,events_part_1.csv
EVT1017,U016,2026-02-06,2026-02-06 14:10:00,page_view,home,Canada,events_part_1.csv
EVT1018,U017,2026-02-07,2026-02-07 15:00:00,page_view,product,Germany,events_part_2.csv
EVT1019,U018,2026-02-07,2026-02-07 15:05:00,button_click,product,Australia,events_part_2.csv
EVT1020,U019,2026-02-07,2026-02-07 15:10:00,signup,signup,UK,events_part_2.csv
EVT1021,U020,2026-02-08,2026-02-08 16:00:00,purchase,checkout,India,events_part_2.csv
EVT1022,U021,2026-02-08,2026-02-08 16:05:00,logout,account,USA,events_part_2.csv
EVT1023,U001,2026-02-08,2026-02-08 16:10:00,page_view,home,Canada,events_part_2.csv
EVT1011,U010,2026-02-04,2026-02-04 12:07:00,page_view,home,Canada,events_part_2.csv
EVT1024,U022,2026-02-09,2026-02-09 17:00:00,page_view,pricing,Germany,events_part_2.csv
EVT1025,U023,2026-02-09,2026-02-09 17:05:00,button_click,pricing,Australia,events_part_2.csv
EVT1026,U024,2026-02-09,2026-02-09 17:10:00,signup,signup,UK,events_part_2.csv
EVT1027,U025,2026-02-10,2026-02-10 18:00:00,purchase,checkout,India,events_part_2.csv
EVT1028,U026,2026-02-10,2026-02-10 18:05:00,page_view,home,USA,events_part_2.csv
EVT1029,U027,2026-02-10,2026-02-10 18:10:00,logout,account,Canada,events_part_2.csv
EVT1030,U028,2026-02-11,2026-02-11 09:00:00,page_view,product,Germany,events_part_2.csv
EVT1031,U029,2026-02-11,2026-02-11 09:05:00,button_click,home,Australia,events_part_2.csv
EVT1032,U030,2026-02-11,2026-02-11 09:10:00,signup,signup,UK,events_part_2.csv
EVT1033,U031,2026-02-12,2026-02-12 10:00:00,purchase,checkout,India,events_part_2.csv
EVT1034,U032,2026-02-12,2026-02-12 10:05:00,page_view,home,USA,events_part_2.csv
EVT1035,U033,2026-02-12,2026-02-12 10:10:00,logout,account,Canada,events_part_2.csv
EVT1036,U034,2026-02-13,2026-02-13 11:00:00,page_view,pricing,Germany,events_part_2.csv
EVT1037,U035,2026-02-13,2026-02-13 11:05:00,button_click,pricing,Australia,events_part_2.csv
EVT1038,U001,2026-02-13,2026-02-13 11:10:00,page_view,home,UK,events_part_2.csv
