order_id,customer_id,order_date,order_status,order_amount
O1001,C001,2024-08-01,PAID,120.00
O1002,C002,2024-08-02,SHIPPED,340.50
O1003,C003,2024-08-03,CANCELLED,45.00
O1004,C001,2024-08-04,PAID,780.00
O1005,C005,2024-08-05,PENDING,210.75
O1006,C006,2024-08-06,SHIPPED,95.40
O1007,C008,2024-08-07,PAID,1250.00
O1008,C009,2024-08-08,CANCELLED,60.00
O1009,C009,2024-08-09,PAID,430.00
O1010,C010,2024-08-10,CANCELLED,35.00
O1011,C012,2024-08-11,SHIPPED,510.00
O1012,C014,2024-08-12,PAID,999.99
O1013,,2024-08-13,PENDING,150.00
O1014,C002,2024-08-14,PAID,275.25
O1015,C004,2024-08-15,CANCELLED,80.00
O1016,C006,2024-08-16,PAID,620.00
O1017,C001,2024-08-17,SHIPPED,310.00
O1018,C013,2024-08-18,CANCELLED,55.00
