record_type,record_id,source_system,target_system,source_value,target_value,load_date
SOURCE,R001,source_app,analytics_target,120.00,120.00,2024-08-01
TARGET,R001,source_app,analytics_target,120.00,120.00,2024-08-01
SOURCE,R002,source_app,analytics_target,340.50,340.50,2024-08-01
TARGET,R002,source_app,analytics_target,340.50,340.50,2024-08-01
SOURCE,R003,source_app,analytics_target,45.00,40.00,2024-08-02
TARGET,R003,source_app,analytics_target,45.00,40.00,2024-08-02
SOURCE,R004,source_app,analytics_target,780.00,,2024-08-02
TARGET,R004,source_app,analytics_target,780.00,,2024-08-02
SOURCE,R005,source_app,analytics_target,210.75,210.75,2024-08-03
SOURCE,R006,source_app,analytics_target,95.40,95.40,2024-08-03
TARGET,R006,source_app,analytics_target,95.40,95.40,2024-08-03
TARGET,R007,source_app,analytics_target,999.00,999.00,2024-08-04
SOURCE,R008,source_app,analytics_target,510.00,500.00,2024-08-04
TARGET,R008,source_app,analytics_target,510.00,500.00,2024-08-04
SOURCE,R009,source_app,analytics_target,620.00,620.00,2024-08-05
TARGET,R009,source_app,analytics_target,620.00,620.00,2024-08-05
SOURCE,R010,source_app,analytics_target,150.00,150.00,2024-08-05
TARGET,R011,source_app,analytics_target,300.00,300.00,2024-08-06
