order_id,customer_id,order_date,order_status,order_amount,updated_at,source_file
O2001,C001,2024-09-01,COMPLETED,120.00,2024-09-01 09:10:00,orders_2024_09_01.csv
O2002,C002,2024-09-01,PENDING,260.50,2024-09-01 09:20:00,orders_2024_09_01.csv
O2003,C003,2024-09-02,CANCELLED,75.00,2024-09-02 10:05:00,orders_2024_09_02.csv
O2004,C004,2024-09-02,COMPLETED,640.00,2024-09-02 10:15:00,orders_2024_09_02.csv
O2005,,2024-09-03,COMPLETED,180.00,2024-09-03 08:30:00,orders_2024_09_03.csv
O2006,C006,2024-09-03,COMPLETED,0.00,2024-09-03 08:35:00,orders_2024_09_03.csv
O2007,C007,2024-09-04,REFUNDED,-45.00,2024-09-04 11:00:00,orders_2024_09_04.csv
O2008,C008,2024-09-04,COMPLETED,980.00,2024-09-04 11:10:00,orders_2024_09_04.csv
O2009,C009,2024-09-05,COMPLETED,315.25,2024-09-05 12:00:00,orders_2024_09_05.csv
O2010,C010,2024-09-05,PENDING,410.00,2024-09-05 12:10:00,orders_2024_09_05.csv
O2011,C002,2024-09-06,COMPLETED,275.00,2024-09-06 13:00:00,orders_2024_09_06.csv
O2011,C002,2024-09-06,COMPLETED,290.00,2024-09-06 15:30:00,orders_2024_09_06_reload.csv
O2012,C011,2024-09-07,COMPLETED,520.00,2024-09-07 09:45:00,orders_2024_09_07.csv
O2013,C012,2024-09-07,CANCELLED,210.00,2024-09-07 09:50:00,orders_2024_09_07.csv
O2014,C013,2024-09-08,COMPLETED,1500.00,2024-09-08 14:00:00,orders_2024_09_08.csv
O2014,C013,2024-09-08,COMPLETED,1500.00,2024-09-08 14:00:00,orders_2024_09_08_retry.csv
O2015,C999,2024-09-09,COMPLETED,225.00,2024-09-09 10:00:00,orders_2024_09_09.csv
O2016,C014,2024-09-10,COMPLETED,725.00,2024-09-10 16:20:00,orders_2024_09_10.csv
O2017,C015,2024-09-10,PENDING,85.00,2024-09-10 16:30:00,orders_2024_09_10.csv
O2018,C001,2024-09-11,COMPLETED,340.00,2024-09-11 09:15:00,orders_2024_09_11.csv
